title,author,rating,ratings,score,link,autors link
Wave of Terror,Theodore Odrach, 4.05 ,134,100,https://www.goodreads.com/book/show/2402650.Wave_of_Terror,https://www.goodreads.com/author/show/1072930.Theodore_Odrach
"Маша, або Постфашизм",Jaroslavas Melnikas, 4.09 ,422,100,https://www.goodreads.com/book/show/29979237,https://www.goodreads.com/author/show/7033112.Jaroslavas_Melnikas
Tük,Арт Антонян (Goodreads Author), 4.40 ,5,100,https://www.goodreads.com/book/show/61145126-t-k,https://www.goodreads.com/author/show/21273675._
Maiden Mountain,Sergej Golovachov (Goodreads Author), 4.00 ,5,99,https://www.goodreads.com/book/show/12192746-maiden-mountain,https://www.goodreads.com/author/show/5082459.Sergej_Golovachov
The Green Library,Janice Kulyk Keefer, 3.45 ,40,99,https://www.goodreads.com/book/show/1585714.The_Green_Library,https://www.goodreads.com/author/show/226093.Janice_Kulyk_Keefer
"Дракони, вперед!",Катя Штанко, 4.36 ,36,99,https://www.goodreads.com/book/show/23595682,https://www.goodreads.com/author/show/9869964._
50 відсотків рації,Олександр Бойченко, 4.45 ,84,99,https://www.goodreads.com/book/show/28792344-50,https://www.goodreads.com/author/show/5267642._
АМ-тм,Yuri Izdryk, 3.37 ,91,99,https://www.goodreads.com/book/show/12667783--,https://www.goodreads.com/author/show/5188382.Yuri_Izdryk
Мор,Валерій Шевчук, 3.80 ,5,99,https://www.goodreads.com/book/show/21948266,https://www.goodreads.com/author/show/5820760._
Kinderen van de Arbat (Arbat tetralogy #1),Anatoli Rybakov, 4.20 ,4.089,99,https://www.goodreads.com/book/show/1485102.Kinderen_van_de_Arbat,https://www.goodreads.com/author/show/7074786.Anatoli_Rybakov
Mesopotamien,Serhiy Zhadan, 3.93 ,811,99,https://www.goodreads.com/book/show/25821348-mesopotamien,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan
Радіо Ніч,Юрій Андрухович, 3.88 ,234,99,https://www.goodreads.com/book/show/56137492,https://www.goodreads.com/author/show/20574188._
Strawberry Fields,Marina Lewycka, 3.51 ,6.942,98,https://www.goodreads.com/book/show/7888613-strawberry-fields,https://www.goodreads.com/author/show/41814.Marina_Lewycka
Інші дні Анни,Taras Prokhasko, 4.32 ,75,98,https://www.goodreads.com/book/show/10470138,https://www.goodreads.com/author/show/4632942.Taras_Prokhasko
Співіснування,Halyna Kruk, 4.53 ,17,98,https://www.goodreads.com/book/show/29604065,https://www.goodreads.com/author/show/7105515.Halyna_Kruk
Флешка-2GB,Yuri Izdryk, 3.78 ,32,98,https://www.goodreads.com/book/show/13481633--2gb,https://www.goodreads.com/author/show/5188382.Yuri_Izdryk
Аптекар,Yuri Vynnychuk, 4.21 ,283,98,https://www.goodreads.com/book/show/26271898,https://www.goodreads.com/author/show/4454935.Yuri_Vynnychuk
"1935 en volgende jaren (Arbat tetralogy, #2)",Anatoli Rybakov, 4.28 ,186,98,https://www.goodreads.com/book/show/7594544-1935-en-volgende-jaren,https://www.goodreads.com/author/show/7074786.Anatoli_Rybakov
Roter Hunger: Stalins Krieg gegen die Ukraine - Mit zahlreichen Abbildungen,Anne Applebaum, 4.39 ,5.015,98,https://www.goodreads.com/book/show/51263933-roter-hunger,https://www.goodreads.com/author/show/64761.Anne_Applebaum
малий український роман,Andriy Lyubka, 3.63 ,155,98,https://www.goodreads.com/book/show/55249702,https://www.goodreads.com/author/show/8144351.Andriy_Lyubka
The Spider's Gift: A Ukrainian Christmas Story,Eric A. Kimmel, 3.90 ,106,97,https://www.goodreads.com/book/show/2020815.The_Spider_s_Gift,https://www.goodreads.com/author/show/2602.Eric_A_Kimmel
When Luba Leaves Home: Stories,Irene Zabytko (Goodreads Author), 3.42 ,36,97,https://www.goodreads.com/book/show/781984.When_Luba_Leaves_Home,https://www.goodreads.com/author/show/410869.Irene_Zabytko
Кавовий присмак кориці,Лариса Денисенко, 3.50 ,42,97,https://www.goodreads.com/book/show/17253396,https://www.goodreads.com/author/show/4414450._
Далекий простір,Jaroslavas Melnikas, 3.89 ,291,97,https://www.goodreads.com/book/show/20320361,https://www.goodreads.com/author/show/7033112.Jaroslavas_Melnikas
"Доба. Сповідь молодого ""бандерівця""",Антін Мухарський, 4.05 ,55,97,https://www.goodreads.com/book/show/17341213,https://www.goodreads.com/author/show/6925797._
Капітан Алоїз,Олександр Гаврош, 3.86 ,7,97,https://www.goodreads.com/book/show/24959067,https://www.goodreads.com/author/show/7395130._
"Стовп самодержавства, або 12 справ Івана Карповича Підіпригори (Іван Підіпригора, #1)",Владислав Івченко, 4.33 ,33,97,https://www.goodreads.com/book/show/15721900-12,https://www.goodreads.com/author/show/6557013._
Подвійний Леон. Іsтоrія хвороби,Yuri Izdryk, 3.68 ,25,97,https://www.goodreads.com/book/show/4556776-s-r,https://www.goodreads.com/author/show/5188382.Yuri_Izdryk
АDЕПТ,Володимир Єшкілєв, 3.71 ,14,97,https://www.goodreads.com/book/show/22304270-d,https://www.goodreads.com/author/show/6551607._
Angst (Arbat tetralogy #3),Anatoli Rybakov, 4.44 ,705,97,https://www.goodreads.com/book/show/12882928-angst,https://www.goodreads.com/author/show/7074786.Anatoli_Rybakov
"Сестро, Сестро: Повісті та Оповідання",Oksana Zabuzhko, 4.01 ,135,97,https://www.goodreads.com/book/show/2627367,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko
Graue Bienen,Andrey Kurkov, 4.21 ,1.493,97,https://www.goodreads.com/book/show/45415707-graue-bienen,https://www.goodreads.com/author/show/88420.Andrey_Kurkov
Невеличка драма,Valerian Pidmohylny, 4.46 ,171,97,https://www.goodreads.com/book/show/25458973,https://www.goodreads.com/author/show/6877491.Valerian_Pidmohylny
The magic wand,Yuri Yarmish, 4.67 ,3,97,https://www.goodreads.com/book/show/10242872-the-magic-wand,https://www.goodreads.com/author/show/13547881.Yuri_Yarmish
Армія без держави,Тарас Бульба-Боровець, 4.00 ,16,96,https://www.goodreads.com/book/show/15849425,https://www.goodreads.com/author/show/6477984._
Crossing The Border,Ksenia Rychtycka (Goodreads Author), 4.63 ,19,96,https://www.goodreads.com/book/show/16112054-crossing-the-border,https://www.goodreads.com/author/show/6565830.Ksenia_Rychtycka
Залишенець,Vasyl Shkliar, 4.38 ,985,96,https://www.goodreads.com/book/show/11174414,https://www.goodreads.com/author/show/16164554.Vasyl_Shkliar
Олюнька,Андрій Чайковський, 4.21 ,19,96,https://www.goodreads.com/book/show/23317187,https://www.goodreads.com/author/show/7336890._
Химери дикого поля,Владислав Івченко, 4.32 ,19,96,https://www.goodreads.com/book/show/23704986,https://www.goodreads.com/author/show/6557013._
Нечиста сила,Василь Королів-Старий, 4.60 ,65,96,https://www.goodreads.com/book/show/28432668,https://www.goodreads.com/author/show/13928356._
Три сторони медалі. Аверс,Геннадій Тітов, 4.00 ,5,96,https://www.goodreads.com/book/show/45710714,https://www.goodreads.com/author/show/19017328._
"Stof en As (Arbat tetralogy, #4)",Anatoli Rybakov, 4.45 ,535,96,https://www.goodreads.com/book/show/13142352-stof-en-as,https://www.goodreads.com/author/show/7074786.Anatoli_Rybakov
"""І знов я влізаю в танк…"". Вибрані тексти 2012–2016: Статті, есе, інтерв’ю, спогади.",Oksana Zabuzhko, 4.70 ,142,96,https://www.goodreads.com/book/show/31847423-2012-2016,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko
"І будуть люди (І будуть люди, #1-3)",Anatoliy Dimarov, 4.45 ,66,96,https://www.goodreads.com/book/show/57439144,https://www.goodreads.com/author/show/7954754.Anatoliy_Dimarov
Пітьма вогнища не розпалює…,Олесь Бердник, 4.62 ,8,95,https://www.goodreads.com/book/show/15849212,https://www.goodreads.com/author/show/6477902._
The House of Widows,Askold Melnyczuk, 3.51 ,67,95,https://www.goodreads.com/book/show/2452305.The_House_of_Widows,https://www.goodreads.com/author/show/175533.Askold_Melnyczuk
З мапи книг і людей,Oksana Zabuzhko, 4.54 ,70,95,https://www.goodreads.com/book/show/16095063,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko
Пацики,Анатолій Дністровий, 4.22 ,95,95,https://www.goodreads.com/book/show/17340881,https://www.goodreads.com/author/show/4665365._
"Найкращий сищик імперії на службі приватного капіталу (Іван Підіпригора, #2)",Владислав Івченко, 4.05 ,20,95,https://www.goodreads.com/book/show/25988784,https://www.goodreads.com/author/show/6557013._
Березіль,Лесь Курбас, 4.00 ,1,95,https://www.goodreads.com/book/show/28100270,https://www.goodreads.com/author/show/14737723._
Afgunst,Yury Olesha, 3.73 ,3.296,95,https://www.goodreads.com/book/show/17279077-afgunst,https://www.goodreads.com/author/show/63475.Yury_Olesha
Хроніки від Фортінбраса. Вибрана есеїстика 90-х,Oksana Zabuzhko, 4.17 ,36,95,https://www.goodreads.com/book/show/2627373-90-,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko
Чаша Амріти,Олесь Бердник, 4.43 ,14,94,https://www.goodreads.com/book/show/15849217,https://www.goodreads.com/author/show/6477902._
Крик,Юрій Завадський, 4.00 ,1,94,https://www.goodreads.com/book/show/16059192,https://www.goodreads.com/author/show/6545151._
Ambassador of the Dead,Askold Melnyczuk, 3.90 ,97,94,https://www.goodreads.com/book/show/304676.Ambassador_of_the_Dead,https://www.goodreads.com/author/show/175533.Askold_Melnyczuk
Молоко з кров'ю,Liuko Dashvar, 4.12 ,547,94,https://www.goodreads.com/book/show/12708057,https://www.goodreads.com/author/show/5315530.Liuko_Dashvar
Нарис історії середньовічної та ранньомодерної України,Наталя Яковенко, 4.57 ,47,94,https://www.goodreads.com/book/show/10466619,https://www.goodreads.com/author/show/4631678._
Жити-пити,Oksana Zabuzhko, 3.44 ,34,94,https://www.goodreads.com/book/show/20945877--,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko
Биті Є. Макс,Liuko Dashvar, 3.89 ,195,93,https://www.goodreads.com/book/show/15765768,https://www.goodreads.com/author/show/5315530.Liuko_Dashvar
Gogol and the Ukrainian Night,Yevhen Sverstiuk, 5.00 ,1,93,https://www.goodreads.com/book/show/21417483-gogol-and-the-ukrainian-night,https://www.goodreads.com/author/show/135422.Yevhen_Sverstiuk
Сьомга,Sofia Andrukhovych, 3.49 ,93,93,https://www.goodreads.com/book/show/9577561,https://www.goodreads.com/author/show/4425923.Sofia_Andrukhovych
День кота,Катерина Булах, 2.67 ,3,93,https://www.goodreads.com/book/show/18428772,https://www.goodreads.com/author/show/7249082._
Камінний хрест,Василь Стефаник, 3.57 ,328,93,https://www.goodreads.com/book/show/6316250,https://www.goodreads.com/author/show/2868377._
Зло,Людмила Баграт, 3.21 ,14,93,https://www.goodreads.com/book/show/30734946,https://www.goodreads.com/author/show/15395683._
Ode aan de voetganger,Anna Akhmatova, 3.83 ,18,93,https://www.goodreads.com/book/show/18164649-ode-aan-de-voetganger,https://www.goodreads.com/author/show/99703.Anna_Akhmatova
