title,author,rating,ratings,score,cuntry ,published,image sm,image,link,AuthorLink,genre
Де тополя росте / Where the poplar grows,Pavlo Tychyna, 3.00,2.00,55,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434919862i/25769270._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434919862i/25769270._SY175_.jpg,https://goodreads.com/book/show/25769270-where-the-poplar-grows,https://www.goodreads.com/author/show/6407573.Pavlo_Tychyna,ua
Аліна й Костомаров,В. Домонтович, 4.29,7.00,55,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480282604i/33138886._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480282604i/33138886._SX150_.jpg,https://goodreads.com/book/show/33138886,https://www.goodreads.com/author/show/6895169._,ua
Тато в декреті,Артем Чапай, 4.36,182.00,55,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473066703i/31839184._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473066703i/31839184._SX150_.jpg,https://goodreads.com/book/show/31839184,https://www.goodreads.com/author/show/8703869._,ua
Хуха-Моховинка,Василь Королів-Старий, 3.95,19.00,54,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452724146i/28536765._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452724146i/28536765._SX150_.jpg,https://goodreads.com/book/show/28536765--,https://www.goodreads.com/author/show/13928356._,ua
Не минаючи ані титли... Лінгвобіографія старослов'янської мови,Любомир Белей, 4.86,7.00,54,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443315846i/25736198._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443315846i/25736198._SY175_.jpg,https://goodreads.com/book/show/25736198,https://www.goodreads.com/author/show/14106257._,ua
Камінний господар,Lesia Ukrainka, 4.01,97.00,54,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396512556i/21841384._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396512556i/21841384._SX150_.jpg,https://goodreads.com/book/show/21841384,https://www.goodreads.com/author/show/5128588.Lesia_Ukrainka,ua
Авантюра. Практичні реаліі мандрів по-бідняцьки,Артем Чапай, 3.71,52.00,54,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466331370i/30648268._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466331370i/30648268._SY175_.jpg,https://goodreads.com/book/show/30648268--,https://www.goodreads.com/author/show/8703869._,ua
Шоколадні вірші про кохання,Надія Каламєєць, 3.46,13.00,53,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417554084i/23655094._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417554084i/23655094._SX150_.jpg,https://goodreads.com/book/show/23655094,https://www.goodreads.com/author/show/10158802._,ua
"Пропащий час. Література українська, проскрибована урядом російським",Михайло Драгоманов, 4.44,9.00,53,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367562893i/17879481._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367562893i/17879481._SY175_.jpg,https://goodreads.com/book/show/17879481,https://www.goodreads.com/author/show/6589028._,ua
Понаїхали,Артем Чапай, 4.06,35.00,53,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443373695i/26825507._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443373695i/26825507._SY175_.jpg,https://goodreads.com/book/show/26825507,https://www.goodreads.com/author/show/8703869._,ua
Дві сили: нариси,Михайло Козоріс, 4.00,1.00,53,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484257358i/33846009._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484257358i/33846009._SX150_.jpg,https://goodreads.com/book/show/33846009,https://www.goodreads.com/author/show/16305359._,ua
